iter	Passed	Remaining
840	39733	7512
841	39777	7464
842	39826	7417
843	39886	7372
844	39937	7325
845	39981	7278
846	40035	7231
847	40088	7185
848	40142	7139
849	40192	7092
850	40242	7046
851	40293	6999
852	40348	6953
853	40401	6907
854	40460	6861
855	40506	6814
856	40556	6767
857	40612	6721
858	40654	6673
859	40712	6627
860	40762	6580
861	40813	6533
862	40855	6485
863	40900	6438
864	40943	6390
865	40993	6343
866	41043	6296
867	41104	6250
868	41154	6203
869	41209	6157
870	41253	6109
871	41295	6061
872	41343	6014
873	41392	5967
874	41445	5920
875	41510	5875
876	41563	5829
877	41640	5786
878	41701	5740
879	41763	5694
880	41813	5647
881	41872	5601
882	41926	5555
883	41991	5510
884	42043	5463
885	42100	5417
886	42148	5369
887	42199	5322
888	42247	5274
889	42290	5226
890	42336	5179
891	42390	5132
892	42443	5085
893	42493	5038
894	42541	4990
895	42589	4943
896	42641	4896
897	42696	4849
898	42741	4801
899	42800	4755
900	42847	4707
901	42907	4661
902	42954	4614
903	42998	4566
904	43041	4518
905	43087	4470
906	43140	4423
907	43191	4376
908	43251	4329
909	43306	4283
910	43354	4235
911	43404	4188
912	43462	4141
913	43516	4094
914	43569	4047
915	43621	4000
916	43672	3952
917	43735	3906
918	43785	3859
919	43841	3812
920	43898	3765
921	43988	3721
922	44037	3673
923	44085	3626
924	44144	3579
925	44187	3531
926	44244	3484
927	44296	3436
928	44347	3389
929	44402	3342
930	44455	3294
931	44504	3247
932	44553	3199
933	44602	3151
934	44650	3104
935	44695	3056
936	44750	3008
937	44798	2961
938	44835	2912
939	44873	2864
940	44914	2816
941	44954	2767
942	44985	2719
943	45021	2670
944	45118	2625
945	45152	2577
946	45182	2528
947	45209	2479
948	45238	2431
949	45271	2382
950	45307	2334
951	45336	2285
952	45368	2237
953	45396	2188
954	45431	2140
955	45462	2092
956	45500	2044
957	45532	1996
958	45564	1948
959	45603	1900
960	45633	1851
961	45668	1803
962	45705	1756
963	45746	1708
964	45779	1660
965	45814	1612
966	45846	1564
967	45881	1516
968	45915	1468
969	45947	1421
970	45977	1373
971	46013	1325
972	46042	1277
973	46080	1230
974	46119	1182
975	46154	1134
976	46190	1087
977	46226	1039
978	46265	992
979	46295	944
980	46328	897
981	46363	849
982	46396	802
983	46428	754
984	46477	707
985	46574	661
986	46613	613
987	46647	566
988	46685	519
989	46717	471
990	46752	424
991	46787	377
992	46820	330
993	46853	282
994	46891	235
995	46924	188
996	46955	141
997	46984	94
998	47017	47
999	47049	0
